ticket_id,created_at,category,channel,customer_tier,agent,priority,first_response_min,resolution_hours,sla_target_hours,sla_breached,escalated,csat_score,resolution_outcome
TCK-100075,2024-07-01 00:10:00,Bug/Error,Portal,Free,Agent_06,Medium,20.4,8.22,72,False,True,3,Resolved - Escalated
TCK-102877,2024-07-01 06:51:00,Account Setup,Email,Enterprise,Agent_02,Low,115.7,5.53,120,False,False,4,Resolved
TCK-100707,2024-07-01 08:54:00,Performance/Slowness,Phone,Pro,Agent_10,Medium,1.0,48.13,72,False,False,5,Resolved
TCK-102914,2024-07-01 09:06:00,Integration/API,Portal,Pro,Agent_05,Critical,30.2,3.04,4,False,True,3,Resolved - Escalated
TCK-103261,2024-07-01 09:34:00,Billing/Invoicing,Email,Basic,Agent_05,Medium,7.3,4.52,72,False,False,5,Resolved
TCK-101330,2024-07-01 12:11:00,Billing/Invoicing,Portal,Pro,Agent_03,Low,94.9,61.11,120,False,False,4,Resolved
TCK-103212,2024-07-01 16:58:00,Login/Authentication,Chat,Basic,Agent_12,High,11.5,1.29,24,False,False,3,Resolved
TCK-100440,2024-07-01 18:45:00,Billing/Invoicing,Email,Enterprise,Agent_09,Medium,63.9,2.74,72,False,True,2,Resolved - Escalated
TCK-103237,2024-07-01 18:59:00,Performance/Slowness,Email,Pro,Agent_10,Critical,17.8,1.13,4,False,False,5,Resolved
TCK-100866,2024-07-01 19:30:00,Performance/Slowness,Email,Free,Agent_02,High,14.1,15.61,24,False,False,4,Resolved
TCK-102069,2024-07-01 20:54:00,Performance/Slowness,Email,Enterprise,Agent_08,High,148.8,0.61,24,False,False,3,Resolved
TCK-103411,2024-07-02 00:00:00,Integration/API,Phone,Enterprise,Agent_04,Medium,4.9,4.62,72,False,True,3,Resolved - Escalated
TCK-103676,2024-07-02 00:00:00,Login/Authentication,Email,Pro,Agent_02,High,63.0,0.89,24,False,True,3,Unresolved - Pending Engineering
TCK-102264,2024-07-02 00:30:00,Integration/API,Phone,Basic,Agent_06,Low,1.0,14.66,120,False,False,5,Resolved
TCK-100773,2024-07-02 03:56:00,Login/Authentication,Portal,Free,Agent_11,Critical,42.7,0.23,4,False,False,3,Resolved
TCK-102350,2024-07-02 05:14:00,Account Setup,Chat,Basic,Agent_08,Low,14.3,1.21,120,False,False,4,Resolved
TCK-102770,2024-07-02 08:28:00,Bug/Error,Email,Enterprise,Agent_02,Medium,28.0,2.27,72,False,False,4,Resolved - Workaround
TCK-102686,2024-07-02 09:29:00,Login/Authentication,Chat,Pro,Agent_08,High,4.8,0.63,24,False,False,3,Resolved - Workaround
TCK-100427,2024-07-02 11:47:00,Performance/Slowness,Chat,Enterprise,Agent_07,High,11.7,5.97,24,False,False,3,Resolved
TCK-101486,2024-07-02 11:59:00,Integration/API,Portal,Basic,Agent_09,Low,84.7,5.57,120,False,True,2,Resolved - Escalated
TCK-103029,2024-07-02 13:14:00,Account Setup,Phone,Basic,Agent_03,Medium,9.2,3.19,72,False,False,4,Resolved
TCK-102985,2024-07-02 13:33:00,Billing/Invoicing,Portal,Pro,Agent_05,Critical,20.2,2.49,4,False,False,4,Resolved
TCK-101604,2024-07-02 14:25:00,Bug/Error,Email,Free,Agent_04,Critical,1.0,1.02,4,False,True,3,Resolved - Escalated
TCK-102683,2024-07-02 15:35:00,Data Export/Import,Email,Free,Agent_10,High,54.1,0.71,24,False,False,4,Resolved
TCK-101581,2024-07-02 18:28:00,Billing/Invoicing,Portal,Free,Agent_06,High,56.1,1.77,24,False,True,3,Unresolved - Pending Engineering
TCK-102302,2024-07-02 19:32:00,Login/Authentication,Chat,Free,Agent_03,Critical,4.8,6.03,4,True,False,3,Resolved - Workaround
TCK-102650,2024-07-02 19:41:00,Bug/Error,Email,Free,Agent_11,High,12.1,8.51,24,False,True,3,Resolved - Escalated
TCK-103924,2024-07-03 00:00:00,Data Export/Import,Chat,Basic,Agent_09,Low,13.2,5.21,120,False,False,4,Resolved
TCK-103465,2024-07-03 00:00:00,Bug/Error,Email,Free,Agent_08,Low,51.0,2.38,120,False,True,4,Resolved - Escalated
TCK-101388,2024-07-03 01:12:00,Login/Authentication,Email,Pro,Agent_04,High,19.6,0.28,24,False,False,4,Resolved
TCK-102977,2024-07-03 01:43:00,Login/Authentication,Email,Pro,Agent_08,Medium,141.9,4.14,72,False,True,3,Resolved - Escalated
TCK-101339,2024-07-03 04:38:00,Account Setup,Email,Pro,Agent_10,Medium,99.9,7.25,72,False,False,4,Resolved
TCK-101925,2024-07-03 05:19:00,Bug/Error,Email,Pro,Agent_02,High,43.9,2.61,24,False,False,4,Resolved - Workaround
TCK-100142,2024-07-03 06:04:00,Data Export/Import,Email,Basic,Agent_08,Low,272.4,11.54,120,False,False,5,Resolved
TCK-101385,2024-07-03 06:39:00,Billing/Invoicing,Email,Basic,Agent_12,Low,1.0,4.44,120,False,False,3,Resolved
TCK-100597,2024-07-03 10:04:00,Billing/Invoicing,Chat,Basic,Agent_11,High,4.4,13.05,24,False,False,4,Resolved
TCK-100708,2024-07-03 22:00:00,Integration/API,Chat,Pro,Agent_09,Medium,3.2,0.67,72,False,True,2,Resolved - Escalated
TCK-103106,2024-07-03 23:24:00,Login/Authentication,Email,Pro,Agent_01,High,1.0,0.83,24,False,False,4,Resolved - Workaround
TCK-103137,2024-07-03 23:27:00,Performance/Slowness,Email,Free,Agent_02,High,33.5,55.45,24,True,False,4,Resolved
TCK-103882,2024-07-04 00:00:00,Login/Authentication,Email,Pro,Agent_04,High,2.7,2.44,24,False,False,4,Resolved
TCK-103643,2024-07-04 00:00:00,Data Export/Import,Chat,Pro,Agent_10,Medium,1.0,4.07,72,False,False,4,Resolved - Workaround
TCK-103527,2024-07-04 00:00:00,Integration/API,Phone,Free,Agent_10,Medium,3.3,27.02,72,False,False,3,Resolved
TCK-101551,2024-07-04 00:37:00,Integration/API,Email,Free,Agent_04,Medium,11.1,2.3,72,False,False,3,Resolved
TCK-101636,2024-07-04 01:14:00,Bug/Error,Chat,Free,Agent_02,Low,1.0,6.23,120,False,False,3,Resolved
